object,category,current_sim_mass_kg,obb_mm,shape_class,n_configs,held_out,real_mass_kg,mass_source,confidence,notes
3D_Dollhouse_TablePurple,GSO,0.11343,144.9,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
ACE_Coffee_Mug_Kristen_16_oz_cup,GSO,0.3325,205.9,handled,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Android_Figure_Chrome,GSO,0.04888,116.3,other,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Brother_Ink_Cartridge_Magenta_LC75M,GSO,0.12225,174.1,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
CoQ10_BjTLbuRVt1t,GSO,0.0555,107.2,convex,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Crayola_Crayons_24_count,GSO,0.08807,141.2,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Crayola_Model_Magic_Modeling_Material_Single_Packs_6_pack_05_oz_packs,GSO,0.47679,256.2,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Crosley_Alarm_Clock_Vintage_Metal,GSO,0.21447,203.1,bottle-can,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Dell_Ink_Cartridge,GSO,0.21937,181.9,convex,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Dell_Series_9_Color_Ink_Cartridge_MK993_High_Yield,GSO,0.12321,156.2,convex,2,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Ecoforms_Plant_Pot_GP9AAvocado,GSO,0.1643,158.7,concave,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,GSO,0.18387,206.0,convex,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Epson_UltraChrome_T0548_Ink_Cartridge_Matte_Black_1pack,GSO,0.09924,164.7,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
FemDophilus,GSO,0.14559,141.4,convex,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Granimals_20_Wooden_ABC_Blocks_Wagon,GSO,0.13586,206.7,convex,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI,GSO,0.13831,208.4,handled,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Hasbro_Cranium_Performance_and_Acting_Game,GSO,1.19536,346.9,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
House_of_Cards_The_Complete_First_Season_4_Discs_DVD,GSO,0.22939,240.0,bottle-can,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Little_Debbie_Donut_Sticks_6_cake_donuts_10_oz_total,GSO,0.49548,334.2,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Marc_Anthony_True_Professional_Oil_of_Morocco_Argan_Oil_Treatment,GSO,0.16583,180.1,bottle-can,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Melissa_Doug_Traffic_Signs_and_Vehicles,GSO,1.3614,414.0,concave,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
My_First_Rolling_Lion,GSO,0.29755,226.3,concave,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
My_First_Wiggle_Crocodile,GSO,0.18925,216.9,concave,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz,GSO,0.45888,224.0,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Nintendo_Mario_Action_Figure,GSO,0.06197,132.0,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Nintendo_Wii_Party_U_with_Controller_Wii_U_Game,GSO,0.66048,253.0,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Nintendo_Yoshi_Action_Figure,GSO,0.08679,147.5,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
OXO_Soft_Works_Can_Opener_SnapLock,GSO,0.12731,198.7,bottle-can,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Object,GSO,0.17831,172.3,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Perricoen_MD_No_Concealer_Concealer,GSO,0.09291,130.1,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Perricone_MD_AcylGlutathione_Eye_Lid_Serum,GSO,0.18253,145.5,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Perricone_MD_Firming_Neck_Therapy_Treatment,GSO,0.10444,113.3,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Perricone_MD_No_Bronzer_Bronzer,GSO,0.08389,121.6,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Perricone_MD_No_Foundation_Serum,GSO,0.12549,144.8,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Perricone_MD_No_Lipstick_Lipstick,GSO,0.06538,103.2,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Phillips_Milk_of_Magnesia_Saline_Laxative_Liquid_Original,GSO,0.20263,197.1,bottle-can,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Phillips_Stool_Softener_Liquid_Gels_30_liquid_gels,GSO,0.11712,125.5,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Prostate_Optimizer,GSO,0.11903,140.4,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Quercetin_500,GSO,0.26718,183.8,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Razer_Naga_MMO_Gaming_Mouse,GSO,0.17121,269.5,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
ReadytoUse_Rolled_Fondant_Pure_White_24_oz_box,GSO,0.37356,213.7,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Remington_1_12_inch_Hair_Straightener,GSO,0.31407,379.3,concave,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Room_Essentials_Salad_Plate_Turquoise,GSO,0.2952,315.1,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
SCHOOL_BUS,GSO,0.04076,109.7,bottle-can,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Schleich_African_Black_Rhino,GSO,0.08133,155.6,bottle-can,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Schleich_Allosaurus,GSO,0.22085,261.2,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Schleich_Hereford_Bull,GSO,0.11542,163.2,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Schleich_Spinosaurus_Action_Figure,GSO,0.40356,305.7,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Schleich_Therizinosaurus_ln9cruulPqc,GSO,0.5894,315.2,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Seagate_Archive_HDD_8_TB_Internal_hard_drive_SATA_6Gbs_35_ST8000AS0002,GSO,0.1561,183.1,bottle-can,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Thomas_Friends_Woodan_Railway_Henry,GSO,0.09628,189.7,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Twinlab_Premium_Creatine_Fuel_Powder,GSO,0.11301,141.3,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Unmellow_Yellow_Tieks_Neon_Patent_Leather_Ballet_Flats,GSO,0.33331,267.8,convex,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Wilton_Easy_Layers_Cake_Pan_Set,GSO,0.56861,265.8,concave,2,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Wilton_PreCut_Parchment_Sheets_10_x_15_24_sheets,GSO,0.29717,284.5,bottle-can,1,True,,TODO: GSO metadata / material prior,proxy(400kg/m3),
Womens_Multi_13,GSO,0.12596,142.9,convex,1,False,,TODO: GSO metadata / material prior,proxy(400kg/m3),
