object_id,family,object_sets,n_episodes,split
3M_Vinyl_Tape_Green_1_x_36_yd,3M_Vinyl_Tape_Green_1_x_36_yd,573,21,test
45oz_RAMEKIN_ASST_DEEP_COLORS,45oz_RAMEKIN_ASST_DEEP_COLORS,573|B_vessels,128,train
5_HTP,5_HTP,573|focused_187,260,train
ACE_Coffee_Mug_Kristen_16_oz_cup,ACE_Coffee_Mug_Kristen_16_oz_cup,573|focused_187,80,val
AllergenFree_JarroDophilus,AllergenFree_JarroDophilus,573|focused_187,264,train
Android_Figure_Chrome,Android_Figure_Chrome,573|focused_187,190,val
Android_Figure_Orange,Android_Figure_Orange,573,29,train
Android_Figure_Panda,Android_Figure_Panda,573,26,train
Android_Lego,Android_Lego,573,1,train
Apples_to_Apples_Kids_Edition,Apples_to_Apples_Kids_Edition,573,40,test
Arm_Hammer_Diaper_Pail_Refills_12_Pack_MFWkmoweejt,Arm_Hammer_Diaper_Pail_Refills_12_Pack_MFWkmoweejt,573,5,val
Aroma_Stainless_Steel_Milk_Frother_2_Cup,Aroma_Stainless_Steel_Milk_Frother_2_Cup,573|B_vessels,177,train
Asus_80211ac_DualBand_Gigabit_Wireless_Router_RTAC68R,Asus_80211ac_DualBand_Gigabit_Wireless_Router_RTAC68R,573,29,train
Asus_M5A78LMUSB3_Motherboard_Micro_ATX_Socket_AM3,Asus_M5A78LMUSB3_Motherboard_Micro_ATX_Socket_AM3,573|focused_187,181,train
Asus_M5A99FX_PRO_R20_Motherboard_ATX_Socket_AM3,Asus_M5A99FX_PRO_R20_Motherboard_ATX_Socket_AM3,573|focused_187,152,train
Asus_Sabertooth_990FX_20_Motherboard_ATX_Socket_AM3,Asus_Sabertooth_990FX_20_Motherboard_ATX_Socket_AM3,573,27,train
Asus_Sabertooth_Z97_MARK_1_Motherboard_ATX_LGA1150_Socket,Asus_Sabertooth_Z97_MARK_1_Motherboard_ATX_LGA1150_Socket,573,24,test
Asus_X99Deluxe_Motherboard_ATX_LGA2011v3_Socket,Asus_X99Deluxe_Motherboard_ATX_LGA2011v3_Socket,573,34,train
Asus_Z87PRO_Motherboard_ATX_LGA1150_Socket,Asus_Z87PRO_Motherboard_ATX_LGA1150_Socket,573|focused_187,162,train
Asus_Z97AR_LGA_1150_Intel_ATX_Motherboard,Asus_Z97AR_LGA_1150_Intel_ATX_Motherboard,573,26,test
Asus_Z97IPLUS_Motherboard_Mini_ITX_LGA1150_Socket,Asus_Z97IPLUS_Motherboard_Mini_ITX_LGA1150_Socket,573,23,train
Avengers_Thor_PLlrpYniaeB,Avengers_Thor_PLlrpYniaeB,573,3,test
BIA_Cordon_Bleu_White_Porcelain_Utensil_Holder_900028,BIA_Cordon_Bleu_White_Porcelain_Utensil_Holder_900028,573,8,test
BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,573,29,val
Balderdash_Game,Balderdash_Game,573|focused_187,206,test
Beetle_Adventure_Racing_Nintendo_64,Beetle_Adventure_Racing_Nintendo_64,573,18,val
Beta_Glucan,Beta_Glucan,573|focused_187,277,train
Bifidus_Balance_FOS,Bifidus_Balance_FOS,573|focused_187,265,train
Big_O_Sponges_Assorted_Cellulose_12_pack,Big_O_Sponges_Assorted_Cellulose_12_pack,573,6,train
BlackBlack_Nintendo_3DSXL,BlackBlack_Nintendo_3DSXL,573,26,train
Black_Elderberry_Syrup_54_oz_Gaia_Herbs,Black_Elderberry_Syrup_54_oz_Gaia_Herbs,573|focused_187,306,test
Black_Forest_Fruit_Snacks_28_Pack_Grape,Black_Forest_Fruit_Snacks_28_Pack_Grape,573,21,train
Black_Forest_Fruit_Snacks_Juicy_Filled_Centers_10_pouches_9_oz_total,Black_Forest_Fruit_Snacks_Juicy_Filled_Centers_10_pouches_9_oz_total,573|focused_187,205,train
Black_and_Decker_PBJ2000_FusionBlade_Blender_Jars,Black_and_Decker_PBJ2000_FusionBlade_Blender_Jars,573,26,train
Black_and_Decker_TR3500SD_2Slice_Toaster,Black_and_Decker_TR3500SD_2Slice_Toaster,573,53,train
Blackcurrant_Lutein,Blackcurrant_Lutein,573|focused_187,274,train
BlueBlack_Nintendo_3DSXL,BlueBlack_Nintendo_3DSXL,573,28,train
Blue_Jasmine_Includes_Digital_Copy_UltraViolet_DVD,Blue_Jasmine_Includes_Digital_Copy_UltraViolet_DVD,573,5,train
Borage_GLA240Gamma_Tocopherol,Borage_GLA240Gamma_Tocopherol,573|focused_187,305,val
Bradshaw_International_11642_7_Qt_MP_Plastic_Bowl,Bradshaw_International_11642_7_Qt_MP_Plastic_Bowl,573|B_vessels,137,val
Brisk_Iced_Tea_Lemon_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,Brisk_Iced_Tea_Lemon_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,573,51,val
Brother_Ink_Cartridge_Magenta_LC75M,Brother_Ink_Cartridge_Magenta_LC75M,573|focused_187,145,train
Brother_LC_1053PKS_Ink_Cartridge_CyanMagentaYellow_1pack,Brother_LC_1053PKS_Ink_Cartridge_CyanMagentaYellow_1pack,573|focused_187,70,train
Brother_Printing_Cartridge_PC501,Brother_Printing_Cartridge_PC501,573,32,val
Calphalon_Kitchen_Essentials_12_Cast_Iron_Fry_Pan_Black,Calphalon_Kitchen_Essentials_12_Cast_Iron_Fry_Pan_Black,573|B_vessels,78,train
Canon_225226_Ink_Cartridges_BlackColor_Cyan_Magenta_Yellow_6_count,Canon_225226_Ink_Cartridges_BlackColor_Cyan_Magenta_Yellow_6_count,573,32,val
Canon_Ink_Cartridge_Green_6,Canon_Ink_Cartridge_Green_6,573|focused_187,104,train
Canon_Pixma_Chromalife_100_Magenta_8,Canon_Pixma_Chromalife_100_Magenta_8,573,14,test
Canon_Pixma_Ink_Cartridge_251_M,Canon_Pixma_Ink_Cartridge_251_M,573,8,test
Canon_Pixma_Ink_Cartridge_8,Canon_Pixma_Ink_Cartridge_8,573,10,train
Canon_Pixma_Ink_Cartridge_8_Green,Canon_Pixma_Ink_Cartridge_8_Green,573,15,train
Canon_Pixma_Ink_Cartridge_8_Red,Canon_Pixma_Ink_Cartridge_8_Red,573,14,test
Canon_Pixma_Ink_Cartridge_Cyan_251,Canon_Pixma_Ink_Cartridge_Cyan_251,573,8,train
Central_Garden_Flower_Pot_Goo_425,Central_Garden_Flower_Pot_Goo_425,573,11,test
Chef_Style_Round_Cake_Pan_9_inch_pan,Chef_Style_Round_Cake_Pan_9_inch_pan,573|B_vessels,48,train
Chefmate_8_Frypan,Chefmate_8_Frypan,573|B_vessels,147,test
Closetmaid_Premium_Fabric_Cube_Red,Closetmaid_Premium_Fabric_Cube_Red,573,21,test
Clue_Board_Game_Classic_Edition,Clue_Board_Game_Classic_Edition,573|focused_187,360,train
CoQ10,CoQ10,573|focused_187,171,test
CoQ10_BjTLbuRVt1t,CoQ10_BjTLbuRVt1t,573|focused_187,176,train
CoQ10_wSSVoxVppVD,CoQ10_wSSVoxVppVD,573|focused_187,163,train
Cole_Hardware_Antislip_Surfacing_Material_White,Cole_Hardware_Antislip_Surfacing_Material_White,573,45,val
Cole_Hardware_Antislip_Surfacing_White_2_x_60,Cole_Hardware_Antislip_Surfacing_White_2_x_60,573,35,train
Cole_Hardware_Bowl_Scirocco_YellowBlue,Cole_Hardware_Bowl_Scirocco_YellowBlue,573|B_vessels,53,train
Cole_Hardware_Butter_Dish_Square_Red,Cole_Hardware_Butter_Dish_Square_Red,573|B_vessels,156,train
Cole_Hardware_Deep_Bowl_Good_Earth_1075,Cole_Hardware_Deep_Bowl_Good_Earth_1075,573|B_vessels,95,train
Cole_Hardware_Electric_Pot_Assortment_55,Cole_Hardware_Electric_Pot_Assortment_55,573,5,train
Cole_Hardware_Electric_Pot_Cabana_55,Cole_Hardware_Electric_Pot_Cabana_55,573,5,train
Cole_Hardware_Flower_Pot_1025,Cole_Hardware_Flower_Pot_1025,573,5,test
Cole_Hardware_Hammer_Black,Cole_Hardware_Hammer_Black,573|focused_187,201,train
Cole_Hardware_Mini_Honey_Dipper,Cole_Hardware_Mini_Honey_Dipper,573,1,train
Cole_Hardware_Mug_Classic_Blue,Cole_Hardware_Mug_Classic_Blue,573,20,train
Cole_Hardware_Orchid_Pot_85,Cole_Hardware_Orchid_Pot_85,573,5,test
Cole_Hardware_Plant_Saucer_Brown_125,Cole_Hardware_Plant_Saucer_Brown_125,573|B_vessels,21,val
Cole_Hardware_Plant_Saucer_Glazed_9,Cole_Hardware_Plant_Saucer_Glazed_9,573|B_vessels,134,test
Cole_Hardware_Saucer_Electric,Cole_Hardware_Saucer_Electric,573|B_vessels,279,val
Cole_Hardware_Saucer_Glazed_6,Cole_Hardware_Saucer_Glazed_6,573|B_vessels,252,train
Cole_Hardware_School_Bell_Solid_Brass_38,Cole_Hardware_School_Bell_Solid_Brass_38,573,67,test
Connect_4_Launchers,Connect_4_Launchers,573,27,test
Cootie_Game_tDhURNbfU5J,Cootie_Game_tDhURNbfU5J,573,24,train
Corningware_CW_by_Corningware_3qt_Oblong_Casserole_Dish_Blue,Corningware_CW_by_Corningware_3qt_Oblong_Casserole_Dish_Blue,573|B_vessels,86,train
Craftsman_Grip_Screwdriver_Phillips_Cushion,Craftsman_Grip_Screwdriver_Phillips_Cushion,573,8,val
Crayola_Bonus_64_Crayons,Crayola_Bonus_64_Crayons,573,46,val
Crayola_Crayons_120_crayons,Crayola_Crayons_120_crayons,573|focused_187,146,train
Crayola_Crayons_24_count,Crayola_Crayons_24_count,573|focused_187,108,train
Crayola_Crayons_Washable_24_crayons,Crayola_Crayons_Washable_24_crayons,573,26,train
Crayola_Model_Magic_Modeling_Material_Single_Packs_6_pack_05_oz_packs,Crayola_Model_Magic_Modeling_Material_Single_Packs_6_pack_05_oz_packs,573|focused_187,178,test
Crayola_Model_Magic_Modeling_Material_White_3_oz,Crayola_Model_Magic_Modeling_Material_White_3_oz,573|focused_187,138,train
Crayola_Washable_Fingerpaint_Red_Blue_Yellow_3_count_8_fl_oz_bottes_each,Crayola_Washable_Fingerpaint_Red_Blue_Yellow_3_count_8_fl_oz_bottes_each,573,20,train
Crayola_Washable_Sidewalk_Chalk_16_pack,Crayola_Washable_Sidewalk_Chalk_16_pack,573,7,test
Crayola_Washable_Sidewalk_Chalk_16_pack_wDZECiw7J6s,Crayola_Washable_Sidewalk_Chalk_16_pack_wDZECiw7J6s,573,6,train
Creatine_Monohydrate,Creatine_Monohydrate,573,15,train
Crosley_Alarm_Clock_Vintage_Metal,Crosley_Alarm_Clock_Vintage_Metal,573|focused_187,203,val
Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,573|focused_187,72,train
Curver_Storage_Bin_Black_Small,Curver_Storage_Bin_Black_Small,573,1,val
DIM_CDG,DIM_CDG,573,29,val
Dell_Ink_Cartridge,Dell_Ink_Cartridge,573|focused_187,216,train
Dell_Ink_Cartridge_Yellow_31,Dell_Ink_Cartridge_Yellow_31,573|focused_187,113,test
Dell_Series_9_Color_Ink_Cartridge_MK993_High_Yield,Dell_Series_9_Color_Ink_Cartridge_MK993_High_Yield,573|focused_187,204,train
Deskstar_Desk_Top_Hard_Drive_1_TB,Deskstar_Desk_Top_Hard_Drive_1_TB,573,17,test
Diamond_Visions_Scissors_Red,Diamond_Visions_Scissors_Red,573,9,train
Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans,Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans,573,33,val
Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,573,14,train
Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue,Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue,573,3,train
Down_To_Earth_Orchid_Pot_Ceramic_Red,Down_To_Earth_Orchid_Pot_Ceramic_Red,573,9,train
Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book,Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book,573|focused_187,239,train
Ecoforms_Cup_B4_SAN,Ecoforms_Cup_B4_SAN,573|B_vessels,27,test
Ecoforms_Garden_Pot_GP16ATurquois,Ecoforms_Garden_Pot_GP16ATurquois,573,15,train
Ecoforms_Plant_Bowl_Atlas_Low,Ecoforms_Plant_Bowl_Atlas_Low,573|B_vessels,29,test
Ecoforms_Plant_Bowl_Turquoise_7,Ecoforms_Plant_Bowl_Turquoise_7,573|B_vessels,112,train
Ecoforms_Plant_Container_12_Pot_Nova,Ecoforms_Plant_Container_12_Pot_Nova,573,12,train
Ecoforms_Plant_Container_B4_Har,Ecoforms_Plant_Container_B4_Har,573,6,train
Ecoforms_Plant_Container_FB6_Tur,Ecoforms_Plant_Container_FB6_Tur,573,10,train
Ecoforms_Plant_Container_GP16AMOCHA,Ecoforms_Plant_Container_GP16AMOCHA,573,9,val
Ecoforms_Plant_Container_GP16A_Coral,Ecoforms_Plant_Container_GP16A_Coral,573,12,val
Ecoforms_Plant_Container_QP6CORAL,Ecoforms_Plant_Container_QP6CORAL,573,2,test
Ecoforms_Plant_Container_QP6HARVEST,Ecoforms_Plant_Container_QP6HARVEST,573,2,val
Ecoforms_Plant_Container_QP_Harvest,Ecoforms_Plant_Container_QP_Harvest,573,9,val
Ecoforms_Plant_Container_QP_Turquoise,Ecoforms_Plant_Container_QP_Turquoise,573,7,test
Ecoforms_Plant_Container_Quadra_Turquoise_QP12,Ecoforms_Plant_Container_Quadra_Turquoise_QP12,573,8,test
Ecoforms_Plant_Container_S14Turquoise,Ecoforms_Plant_Container_S14Turquoise,573,38,test
Ecoforms_Plant_Container_S24NATURAL,Ecoforms_Plant_Container_S24NATURAL,573,31,train
Ecoforms_Plant_Container_S24Turquoise,Ecoforms_Plant_Container_S24Turquoise,573|focused_187,155,val
Ecoforms_Plant_Container_SB9Turquoise,Ecoforms_Plant_Container_SB9Turquoise,573,19,test
Ecoforms_Plant_Container_URN_NAT,Ecoforms_Plant_Container_URN_NAT,573,7,train
Ecoforms_Plant_Container_URN_SAN,Ecoforms_Plant_Container_URN_SAN,573,7,train
Ecoforms_Plant_Container_Urn_55_Avocado,Ecoforms_Plant_Container_Urn_55_Avocado,573,8,test
Ecoforms_Plant_Container_Urn_55_Mocha,Ecoforms_Plant_Container_Urn_55_Mocha,573,4,test
Ecoforms_Plant_Plate_S11Turquoise,Ecoforms_Plant_Plate_S11Turquoise,573|B_vessels,181,train
Ecoforms_Plant_Pot_GP9AAvocado,Ecoforms_Plant_Pot_GP9AAvocado,573|focused_187,160,train
Ecoforms_Plant_Pot_GP9_SAND,Ecoforms_Plant_Pot_GP9_SAND,573,28,val
Ecoforms_Plant_Saucer_S14MOCHA,Ecoforms_Plant_Saucer_S14MOCHA,573|B_vessels,279,test
Ecoforms_Plant_Saucer_S14NATURAL,Ecoforms_Plant_Saucer_S14NATURAL,573|B_vessels,278,train
Ecoforms_Plant_Saucer_S17MOCHA,Ecoforms_Plant_Saucer_S17MOCHA,573|B_vessels,275,train
Ecoforms_Plant_Saucer_S20MOCHA,Ecoforms_Plant_Saucer_S20MOCHA,573|B_vessels,255,test
Ecoforms_Plant_Saucer_SQ1HARVEST,Ecoforms_Plant_Saucer_SQ1HARVEST,573|B_vessels,89,test
Ecoforms_Plant_Saucer_SQ8COR,Ecoforms_Plant_Saucer_SQ8COR,573|B_vessels,49,test
Ecoforms_Planter_Bowl_Cole_Hardware,Ecoforms_Planter_Bowl_Cole_Hardware,573|B_vessels,104,test
Ecoforms_Planter_Pot_GP12AAvocado,Ecoforms_Planter_Pot_GP12AAvocado,573|B_vessels,102,train
Ecoforms_Planter_Pot_QP6Ebony,Ecoforms_Planter_Pot_QP6Ebony,573|B_vessels,11,train
Ecoforms_Plate_S20Avocado,Ecoforms_Plate_S20Avocado,573|B_vessels,204,val
Ecoforms_Pot_Nova_6_Turquoise,Ecoforms_Pot_Nova_6_Turquoise,573,4,train
Ecoforms_Quadra_Saucer_SQ1_Avocado,Ecoforms_Quadra_Saucer_SQ1_Avocado,573|B_vessels,81,train
Ecoforms_Saucer_SQ3_Turquoise,Ecoforms_Saucer_SQ3_Turquoise,573|B_vessels,15,train
Epson_273XL_Ink_Cartridge_Magenta,Epson_273XL_Ink_Cartridge_Magenta,573,23,train
Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,573|focused_187,84,train
Epson_Ink_Cartridge_126_Yellow,Epson_Ink_Cartridge_126_Yellow,573,13,train
Epson_Ink_Cartridge_Black_200,Epson_Ink_Cartridge_Black_200,573,30,train
Epson_LabelWorks_LC4WBN9_Tape_reel_labels_047_x_295_Roll_Black_on_White,Epson_LabelWorks_LC4WBN9_Tape_reel_labels_047_x_295_Roll_Black_on_White,573,12,train
Epson_LabelWorks_LC5WBN9_Tape_reel_labels_071_x_295_Roll_Black_on_White,Epson_LabelWorks_LC5WBN9_Tape_reel_labels_071_x_295_Roll_Black_on_White,573,11,train
Epson_T5803_Ink_Cartridge_Magenta_1pack,Epson_T5803_Ink_Cartridge_Magenta_1pack,573,16,train
Epson_UltraChrome_T0543_Ink_Cartridge_Magenta_1pack,Epson_UltraChrome_T0543_Ink_Cartridge_Magenta_1pack,573,8,train
Epson_UltraChrome_T0548_Ink_Cartridge_Matte_Black_1pack,Epson_UltraChrome_T0548_Ink_Cartridge_Matte_Black_1pack,573|focused_187,255,train
FemDophilus,FemDophilus,573|focused_187,316,train
Final_Fantasy_XIV_A_Realm_Reborn_60Day_Subscription,Final_Fantasy_XIV_A_Realm_Reborn_60Day_Subscription,573|focused_187,200,test
Firefly_Clue_Board_Game,Firefly_Clue_Board_Game,573|focused_187,186,train
FisherPrice_Make_A_Match_Game_Thomas_Friends,FisherPrice_Make_A_Match_Game_Thomas_Friends,573|focused_187,136,val
Folic_Acid,Folic_Acid,573|focused_187,193,train
Footed_Bowl_Sand,Footed_Bowl_Sand,573|B_vessels,69,test
Fresca_Peach_Citrus_Sparkling_Flavored_Soda_12_PK,Fresca_Peach_Citrus_Sparkling_Flavored_Soda_12_PK,573,43,train
Frozen_Olafs_In_Trouble_PopOMatic_Game,Frozen_Olafs_In_Trouble_PopOMatic_Game,573,25,test
Frozen_Scrabble_Jr,Frozen_Scrabble_Jr,573|focused_187,213,test
Fujifilm_instax_SHARE_SP1_10_photos,Fujifilm_instax_SHARE_SP1_10_photos,573,51,train
Full_Circle_Happy_Scraps_Out_Collector_Gray,Full_Circle_Happy_Scraps_Out_Collector_Gray,573,2,train
Germanium_GE132,Germanium_GE132,573|focused_187,236,train
Gigabyte_GA78LMTUSB3_50_Motherboard_Micro_ATX_Socket_AM3,Gigabyte_GA78LMTUSB3_50_Motherboard_Micro_ATX_Socket_AM3,573|focused_187,150,train
Gigabyte_GA970AUD3P_10_Motherboard_ATX_Socket_AM3,Gigabyte_GA970AUD3P_10_Motherboard_ATX_Socket_AM3,573,28,train
Gigabyte_GAZ97XSLI_10_motherboard_ATX_LGA1150_Socket_Z97,Gigabyte_GAZ97XSLI_10_motherboard_ATX_LGA1150_Socket_Z97,573,36,test
Google_Cardboard_Original_package,Google_Cardboard_Original_package,573,13,train
Granimals_20_Wooden_ABC_Blocks_Wagon,Granimals_20_Wooden_ABC_Blocks_Wagon,573|focused_187,200,val
Granimals_20_Wooden_ABC_Blocks_Wagon_85VdSftGsLi,Granimals_20_Wooden_ABC_Blocks_Wagon_85VdSftGsLi,573,9,train
Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI,Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI,573|focused_187,248,test
Great_Dinos_Triceratops_Toy,Great_Dinos_Triceratops_Toy,573,19,train
Grreat_Choice_Dog_Double_Dish_Plastic_Blue,Grreat_Choice_Dog_Double_Dish_Plastic_Blue,573|B_vessels,55,val
Grreatv_Choice_Dog_Bowl_Gray_Bones_Plastic_20_fl_oz_total,Grreatv_Choice_Dog_Bowl_Gray_Bones_Plastic_20_fl_oz_total,573|B_vessels,50,test
HP_1800_Tablet_8GB_7,HP_1800_Tablet_8GB_7,573,5,train
HP_Card_Invitation_Kit,HP_Card_Invitation_Kit,573,37,val
Hasbro_Cranium_Performance_and_Acting_Game,Hasbro_Cranium_Performance_and_Acting_Game,573|focused_187,225,train
Hasbro_Dont_Wake_Daddy_Board_Game,Hasbro_Dont_Wake_Daddy_Board_Game,573,27,train
Hasbro_Life_Board_Game,Hasbro_Life_Board_Game,573|focused_187,178,train
Hasbro_Monopoly_Hotels_Game,Hasbro_Monopoly_Hotels_Game,573|focused_187,121,test
Hasbro_Trivial_Pursuit_Family_Edition_Game,Hasbro_Trivial_Pursuit_Family_Edition_Game,573|focused_187,183,test
HeavyDuty_Flashlight,HeavyDuty_Flashlight,573,81,test
Hefty_Waste_Basket_Decorative_Bronze_85_liter,Hefty_Waste_Basket_Decorative_Bronze_85_liter,573,4,test
Hey_You_Pikachu_Nintendo_64,Hey_You_Pikachu_Nintendo_64,573,20,val
House_of_Cards_The_Complete_First_Season_4_Discs_DVD,House_of_Cards_The_Complete_First_Season_4_Discs_DVD,573|focused_187,299,train
Hyaluronic_Acid,Hyaluronic_Acid,573,37,val
HyperX_Cloud_II_Headset_Gun_Metal,HyperX_Cloud_II_Headset_Gun_Metal,573,54,train
HyperX_Cloud_II_Headset_Red,HyperX_Cloud_II_Headset_Red,573,42,train
INTERNATIONAL_PAPER_Willamette_4_Brown_Bag_500Count,INTERNATIONAL_PAPER_Willamette_4_Brown_Bag_500Count,573,52,train
Inositol,Inositol,573|focused_187,311,val
IsoRich_Soy,IsoRich_Soy,573,16,val
JBL_Charge_Speaker_portable_wireless_wired_Green,JBL_Charge_Speaker_portable_wireless_wired_Green,573|focused_187,286,val
JarroDophilusFOS_Value_Size,JarroDophilusFOS_Value_Size,573|focused_187,341,train
JarroSil_Activated_Silicon,JarroSil_Activated_Silicon,573|focused_187,292,train
JarroSil_Activated_Silicon_5exdZHIeLAp,JarroSil_Activated_Silicon_5exdZHIeLAp,573|focused_187,284,train
Jarrow_Formulas_Glucosamine_Hci_Mega_1000_100_ct,Jarrow_Formulas_Glucosamine_Hci_Mega_1000_100_ct,573|focused_187,316,train
Jarrow_Glucosamine_Chondroitin_Combination_120_Caps,Jarrow_Glucosamine_Chondroitin_Combination_120_Caps,573|focused_187,358,train
Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_Kit_Jet_Black_M60,Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_Kit_Jet_Black_M60,573|focused_187,246,train
Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_MediumDark_Brown_M40,Just_For_Men_Mustache_Beard_Brushin_Hair_Color_Gel_MediumDark_Brown_M40,573|focused_187,198,train
Just_For_Men_ShampooIn_Haircolor_Jet_Black_60,Just_For_Men_ShampooIn_Haircolor_Jet_Black_60,573,29,test
Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,Just_For_Men_ShampooIn_Haircolor_Light_Brown_25,573,28,test
Just_For_Men_Shampoo_In_Haircolor_Darkest_Brown_50,Just_For_Men_Shampoo_In_Haircolor_Darkest_Brown_50,573,29,val
Justified_The_Complete_Fourth_Season_3_Discs_DVD,Justified_The_Complete_Fourth_Season_3_Discs_DVD,573,44,test
