object,n_stable,n_eff,pmax,isotropy,tv_long,tv_mid,tv_short,tv_max,long_mm,degenerate
044_flat_screwdriver,19,14.3,0.13,0.16,0.69,0.81,0.83,0.83,220.1,True
048_hammer,3,2.3,0.48,0.14,0.03,0.5,0.07,0.5,347.6,False
050_medium_clamp,5,3.1,0.46,0.29,0.63,0.46,0.43,0.63,98.0,False
051_large_clamp,3,2.1,0.5,0.21,0.02,0.98,0.11,0.98,172.1,False
052_extra_large_clamp,3,2.7,0.5,0.16,0.22,0.28,0.06,0.28,219.6,False
053_mini_soccer_ball,6,5.8,0.23,0.96,0.85,1.0,0.95,1.0,126.3,True
055_baseball,1,1.0,1.0,0.99,1.0,1.0,1.0,1.0,73.1,True
061_foam_brick,8,6.4,0.21,0.95,0.38,0.25,0.43,0.43,93.1,True
065-a_cups,14,9.9,0.2,0.87,0.42,0.78,0.71,0.78,74.1,True
065-b_cups,18,11.9,0.2,0.9,0.31,0.6,0.63,0.63,76.5,True
065-c_cups,9,4.6,0.39,0.95,0.3,0.78,0.79,0.79,67.3,True
065-d_cups,6,3.1,0.48,0.96,0.26,0.76,0.75,0.76,72.5,True
065-e_cups,7,3.8,0.42,0.96,0.33,0.74,0.74,0.74,71.7,True
065-f_cups,8,3.8,0.42,0.95,0.38,0.72,0.72,0.72,76.4,True
065-g_cups,5,2.8,0.5,0.87,0.21,0.63,0.71,0.71,75.4,True
065-h_cups,13,6.5,0.32,0.97,0.6,0.61,0.84,0.84,107.7,True
065-i_cups,14,7.0,0.3,0.93,0.63,0.55,0.4,0.63,110.9,True
065-j_cups,14,6.9,0.3,0.93,0.51,0.54,0.53,0.54,115.4,True
070-b_colored_wood_blocks,6,6.0,0.18,0.89,0.42,0.36,0.35,0.42,44.1,True
071_nine_hole_peg_test,6,3.1,0.4,0.26,0.13,0.16,0.08,0.16,201.1,False
072-b_toy_airplane,2,2.0,0.5,0.31,0.5,0.7,0.14,0.7,183.5,False
072-c_toy_airplane,17,13.1,0.15,0.51,0.24,0.9,0.63,0.9,74.8,True
072-d_toy_airplane,18,15.5,0.11,0.52,0.26,0.72,0.67,0.72,74.1,True
072-e_toy_airplane,12,7.8,0.24,0.51,0.3,0.59,0.5,0.59,74.2,False
073-a_lego_duplo,5,3.6,0.37,0.43,0.39,0.14,0.26,0.39,73.8,False
073-b_lego_duplo,7,5.6,0.2,0.94,0.13,0.16,0.16,0.16,48.6,True
073-c_lego_duplo,8,4.4,0.32,0.43,0.12,0.19,0.38,0.38,74.8,False
073-d_lego_duplo,7,6.3,0.23,0.79,0.37,0.46,0.47,0.47,68.9,True
073-e_lego_duplo,4,4.0,0.28,0.46,0.15,0.12,0.12,0.15,104.3,False
073-f_lego_duplo,6,5.5,0.2,0.84,0.19,0.11,0.13,0.19,46.2,True
077_rubiks_cube,8,7.2,0.17,0.84,0.28,0.28,0.21,0.28,92.2,True
3D_Dollhouse_Lamp,18,14.5,0.1,0.26,0.36,0.8,0.8,0.8,176.0,True
3D_Dollhouse_Refrigerator,6,4.3,0.27,0.41,0.06,0.11,0.14,0.14,222.4,False
3D_Dollhouse_Sink,7,5.6,0.26,0.8,0.25,0.21,0.49,0.49,159.4,True
3D_Dollhouse_Sofa,6,4.4,0.28,0.54,0.07,0.36,0.25,0.36,220.1,False
3D_Dollhouse_Swing,5,3.8,0.38,0.4,0.4,0.75,0.36,0.75,154.6,False
3D_Dollhouse_TablePurple,11,7.3,0.23,0.89,0.35,0.44,0.23,0.44,107.3,True
3M_Antislip_Surfacing_Light_Duty_White,2,2.0,0.5,0.23,0.14,0.14,0.07,0.14,160.2,False
3M_Vinyl_Tape_Green_1_x_36_yd,2,2.0,0.5,0.32,0.22,0.21,0.09,0.22,119.3,False
45oz_RAMEKIN_ASST_DEEP_COLORS,8,3.4,0.41,0.68,0.43,0.45,0.3,0.45,96.9,False
5_HTP,17,14.1,0.11,0.62,0.35,0.82,0.83,0.83,96.8,True
ACE_Coffee_Mug_Kristen_16_oz_cup,8,3.8,0.35,0.61,0.11,0.16,0.32,0.32,152.0,False
AllergenFree_JarroDophilus,18,14.1,0.11,0.56,0.34,0.67,0.77,0.77,105.8,True
Android_Figure_Chrome,7,6.3,0.21,0.6,0.66,0.83,0.49,0.83,87.4,False
Android_Figure_Orange,11,6.4,0.28,0.64,0.66,0.64,0.6,0.66,86.8,False
Android_Figure_Panda,9,6.7,0.19,0.68,0.82,0.6,0.43,0.82,79.2,False
Android_Lego,3,2.6,0.52,0.21,0.03,0.54,0.06,0.54,116.6,False
Apples_to_Apples_Kids_Edition,5,3.4,0.36,0.33,0.1,0.1,0.12,0.12,286.6,False
Arm_Hammer_Diaper_Pail_Refills_12_Pack_MFWkmoweejt,6,5.1,0.23,0.8,0.09,0.35,0.29,0.35,183.0,True
Aroma_Stainless_Steel_Milk_Frother_2_Cup,7,5.5,0.26,0.71,0.33,0.35,0.48,0.48,209.0,True
Asus_80211ac_DualBand_Gigabit_Wireless_Router_RTAC68R,6,3.5,0.36,0.33,0.07,0.08,0.16,0.16,351.7,False
Asus_M5A78LMUSB3_Motherboard_Micro_ATX_Socket_AM3,6,2.6,0.43,0.16,0.08,0.08,0.08,0.08,373.4,False
Asus_M5A99FX_PRO_R20_Motherboard_ATX_Socket_AM3,6,3.0,0.4,0.23,0.03,0.04,0.05,0.05,331.0,False
Asus_Sabertooth_990FX_20_Motherboard_ATX_Socket_AM3,6,3.0,0.4,0.24,0.06,0.07,0.12,0.12,365.6,False
Asus_Sabertooth_Z97_MARK_1_Motherboard_ATX_LGA1150_Socket,5,2.8,0.42,0.28,0.08,0.08,0.17,0.17,352.7,False
Asus_X99Deluxe_Motherboard_ATX_LGA2011v3_Socket,6,3.1,0.39,0.25,0.05,0.05,0.09,0.09,353.7,False
Asus_Z87PRO_Motherboard_ATX_LGA1150_Socket,6,2.9,0.41,0.22,0.06,0.06,0.18,0.18,356.1,False
Asus_Z97AR_LGA_1150_Intel_ATX_Motherboard,6,3.0,0.4,0.22,0.04,0.06,0.05,0.06,338.9,False
Asus_Z97IPLUS_Motherboard_Mini_ITX_LGA1150_Socket,7,4.4,0.31,0.44,0.07,0.08,0.07,0.08,245.6,False
Avengers_Thor_PLlrpYniaeB,7,4.4,0.32,0.45,0.08,0.12,0.11,0.12,309.8,False
BIA_Cordon_Bleu_White_Porcelain_Utensil_Holder_900028,8,4.6,0.34,0.82,0.38,0.78,0.78,0.78,179.4,True
BIA_Porcelain_Ramekin_With_Glazed_Rim_35_45_oz_cup,13,4.4,0.36,0.77,0.4,0.39,0.25,0.4,94.7,True
Balderdash_Game,6,2.8,0.43,0.21,0.08,0.08,0.1,0.1,312.3,False
Beetle_Adventure_Racing_Nintendo_64,4,2.5,0.45,0.19,0.52,0.47,0.11,0.52,135.4,False
Beta_Glucan,17,13.5,0.11,0.57,0.22,0.77,0.84,0.84,105.1,True
Bifidus_Balance_FOS,14,9.7,0.2,0.58,0.22,0.8,0.78,0.8,106.2,True
Big_O_Sponges_Assorted_Cellulose_12_pack,4,2.4,0.48,0.17,0.04,0.07,0.12,0.12,134.0,False
BlackBlack_Nintendo_3DSXL,5,3.2,0.43,0.33,0.27,0.06,0.06,0.27,171.6,False
Black_Elderberry_Syrup_54_oz_Gaia_Herbs,6,4.8,0.25,0.45,0.39,0.15,0.33,0.39,153.0,False
Black_Forest_Fruit_Snacks_28_Pack_Grape,6,3.5,0.36,0.32,0.05,0.06,0.22,0.22,265.0,False
Black_Forest_Fruit_Snacks_Juicy_Filled_Centers_10_pouches_9_oz_total,5,3.0,0.4,0.27,0.15,0.45,0.22,0.45,220.4,False
Black_and_Decker_PBJ2000_FusionBlade_Blender_Jars,8,5.2,0.33,0.45,0.1,0.11,0.21,0.21,312.8,False
Black_and_Decker_TR3500SD_2Slice_Toaster,8,5.6,0.28,0.72,0.56,0.29,0.43,0.56,286.4,True
Blackcurrant_Lutein,16,12.1,0.16,0.58,0.32,0.91,0.87,0.91,106.8,True
BlueBlack_Nintendo_3DSXL,5,3.2,0.42,0.3,0.11,0.3,0.07,0.3,190.0,False
Blue_Jasmine_Includes_Digital_Copy_UltraViolet_DVD,2,2.0,0.5,0.1,0.0,0.01,0.03,0.03,205.9,False
Borage_GLA240Gamma_Tocopherol,17,14.9,0.11,0.56,0.28,0.89,0.91,0.91,119.5,True
Bradshaw_International_11642_7_Qt_MP_Plastic_Bowl,5,2.1,0.66,0.57,0.6,0.6,0.21,0.6,293.5,False
Brisk_Iced_Tea_Lemon_12_12_fl_oz_355_ml_cans_144_fl_oz_426_lt,7,5.6,0.25,0.43,0.17,0.26,0.25,0.26,429.6,False
Brother_Ink_Cartridge_Magenta_LC75M,5,3.4,0.44,0.21,0.05,0.11,0.19,0.19,162.2,False
Brother_LC_1053PKS_Ink_Cartridge_CyanMagentaYellow_1pack,7,4.1,0.34,0.48,0.52,0.34,0.33,0.52,159.3,False
Brother_Printing_Cartridge_PC501,4,3.1,0.39,0.25,0.12,0.17,0.1,0.17,281.8,False
Calphalon_Kitchen_Essentials_12_Cast_Iron_Fry_Pan_Black,9,2.7,0.57,0.46,0.56,0.56,0.21,0.56,340.0,False
Canon_225226_Ink_Cartridges_BlackColor_Cyan_Magenta_Yellow_6_count,6,4.3,0.34,0.52,0.06,0.34,0.09,0.34,170.5,False
Canon_Ink_Cartridge_Green_6,5,3.2,0.38,0.29,0.53,0.08,0.07,0.53,157.9,False
Canon_Pixma_Chromalife_100_Magenta_8,4,2.3,0.47,0.18,0.59,0.05,0.06,0.59,143.7,False
Canon_Pixma_Ink_Cartridge_251_M,4,2.4,0.45,0.28,0.06,0.07,0.11,0.11,114.3,False
Canon_Pixma_Ink_Cartridge_8,5,2.5,0.45,0.24,0.1,0.07,0.15,0.15,132.0,False
Canon_Pixma_Ink_Cartridge_8_Green,2,2.0,0.5,0.23,0.01,0.1,0.07,0.1,132.8,False
Canon_Pixma_Ink_Cartridge_8_Red,4,2.3,0.49,0.22,0.57,0.48,0.11,0.57,144.6,False
Canon_Pixma_Ink_Cartridge_Cyan_251,6,3.4,0.43,0.24,0.04,0.49,0.05,0.49,113.0,False
Central_Garden_Flower_Pot_Goo_425,10,4.3,0.44,0.88,0.26,0.64,0.67,0.67,105.7,True
Chef_Style_Round_Cake_Pan_9_inch_pan,2,2.0,0.56,0.26,0.01,0.01,0.05,0.05,257.7,False
Chefmate_8_Frypan,2,2.0,0.55,0.17,0.57,0.56,0.05,0.57,373.7,False
Closetmaid_Premium_Fabric_Cube_Red,6,6.0,0.18,0.87,0.45,0.18,0.21,0.45,457.9,True
Clue_Board_Game_Classic_Edition,4,2.2,0.49,0.14,0.05,0.49,0.11,0.49,529.3,False
CoQ10,19,16.2,0.1,0.57,0.26,0.86,0.7,0.86,94.3,True
CoQ10_BjTLbuRVt1t,17,13.7,0.11,0.57,0.25,0.8,0.7,0.8,93.1,True
CoQ10_wSSVoxVppVD,19,17.3,0.09,0.58,0.31,0.65,0.66,0.66,92.7,True
Cole_Hardware_Antislip_Surfacing_Material_White,13,6.6,0.25,0.94,0.52,0.52,0.41,0.52,179.9,True
Cole_Hardware_Antislip_Surfacing_White_2_x_60,2,2.0,0.5,0.42,0.32,0.33,0.13,0.33,167.2,False
Cole_Hardware_Bowl_Scirocco_YellowBlue,15,5.2,0.4,0.59,0.63,0.64,0.24,0.64,122.4,False
Cole_Hardware_Butter_Dish_Square_Red,11,5.1,0.38,0.63,0.64,0.64,0.51,0.64,133.0,False
Cole_Hardware_Deep_Bowl_Good_Earth_1075,8,2.7,0.57,0.46,0.56,0.55,0.53,0.56,294.9,False
Cole_Hardware_Electric_Pot_Assortment_55,14,8.8,0.19,0.92,0.32,0.74,0.73,0.74,137.2,True
Cole_Hardware_Electric_Pot_Cabana_55,14,6.3,0.35,0.96,0.41,0.69,0.74,0.74,141.7,True
Cole_Hardware_Flower_Pot_1025,10,4.0,0.46,0.91,0.28,0.68,0.72,0.72,235.7,True
Cole_Hardware_Hammer_Black,4,3.3,0.39,0.22,0.21,0.43,0.3,0.43,305.7,False
Cole_Hardware_Mini_Honey_Dipper,15,12.5,0.13,0.23,0.23,0.8,0.72,0.8,119.6,True
Cole_Hardware_Mug_Classic_Blue,11,7.8,0.22,0.67,0.72,0.63,0.72,0.72,169.8,False
Cole_Hardware_Orchid_Pot_85,3,2.0,0.64,0.92,0.63,0.65,0.56,0.65,213.8,True
Cole_Hardware_Plant_Saucer_Brown_125,2,2.0,0.54,0.19,0.01,0.56,0.04,0.56,326.5,False
Cole_Hardware_Plant_Saucer_Glazed_9,2,2.0,0.54,0.18,0.01,0.01,0.05,0.05,240.2,False
Cole_Hardware_Saucer_Electric,2,2.0,0.56,0.28,0.01,0.02,0.06,0.06,132.4,False
Cole_Hardware_Saucer_Glazed_6,2,2.0,0.55,0.2,0.01,0.01,0.04,0.04,166.7,False
Cole_Hardware_School_Bell_Solid_Brass_38,18,14.2,0.14,0.55,0.18,0.78,0.71,0.78,165.6,True
Connect_4_Launchers,7,3.2,0.39,0.24,0.07,0.08,0.05,0.08,332.4,False
Cootie_Game_tDhURNbfU5J,9,6.7,0.22,0.57,0.1,0.17,0.15,0.17,299.0,False
Corningware_CW_by_Corningware_3qt_Oblong_Casserole_Dish_Blue,2,1.9,0.59,0.23,0.01,0.01,0.05,0.05,384.7,False
Craftsman_Grip_Screwdriver_Phillips_Cushion,8,7.2,0.2,0.14,0.2,0.68,0.67,0.68,273.9,False
Crayola_Bonus_64_Crayons,8,3.3,0.38,0.26,0.06,0.46,0.08,0.46,171.7,False
Crayola_Crayons_120_crayons,4,3.3,0.36,0.3,0.18,0.17,0.23,0.23,266.5,False
Crayola_Crayons_24_count,5,2.8,0.44,0.28,0.06,0.08,0.11,0.11,133.3,False
Crayola_Crayons_Washable_24_crayons,7,3.0,0.41,0.32,0.2,0.07,0.21,0.21,124.9,False
Crayola_Model_Magic_Modeling_Material_Single_Packs_6_pack_05_oz_packs,6,3.0,0.4,0.27,0.06,0.11,0.11,0.11,235.5,False
Crayola_Model_Magic_Modeling_Material_White_3_oz,5,2.9,0.41,0.24,0.51,0.08,0.16,0.51,236.5,False
Crayola_Washable_Fingerpaint_Red_Blue_Yellow_3_count_8_fl_oz_bottes_each,7,3.9,0.35,0.32,0.07,0.08,0.15,0.15,200.4,False
Crayola_Washable_Sidewalk_Chalk_16_pack,7,5.4,0.23,0.82,0.25,0.26,0.22,0.26,164.6,True
Crayola_Washable_Sidewalk_Chalk_16_pack_wDZECiw7J6s,6,5.2,0.23,0.82,0.66,0.42,0.42,0.66,163.0,True
Creatine_Monohydrate,15,12.0,0.15,0.65,0.69,0.79,0.87,0.87,198.8,True
Crosley_Alarm_Clock_Vintage_Metal,8,3.8,0.4,0.33,0.36,0.37,0.37,0.37,126.4,False
Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,9,5.1,0.34,0.38,0.11,0.1,0.26,0.26,165.4,False
Curver_Storage_Bin_Black_Small,8,4.8,0.28,0.68,0.13,0.19,0.15,0.19,316.1,False
DIM_CDG,18,14.5,0.14,0.57,0.26,0.6,0.68,0.68,94.6,True
Dell_Ink_Cartridge,8,4.7,0.35,0.41,0.45,0.12,0.39,0.45,151.9,False
Dell_Ink_Cartridge_Yellow_31,5,2.7,0.44,0.29,0.91,0.92,0.26,0.92,157.3,False
Dell_Series_9_Color_Ink_Cartridge_MK993_High_Yield,6,3.5,0.36,0.33,0.16,0.09,0.18,0.18,144.6,False
Deskstar_Desk_Top_Hard_Drive_1_TB,7,4.2,0.33,0.42,0.06,0.07,0.07,0.07,199.8,False
Diamond_Visions_Scissors_Red,2,2.0,0.51,0.08,0.49,1.0,0.03,1.0,225.8,False
Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans,6,4.4,0.26,0.45,0.27,0.17,0.33,0.33,428.8,False
Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,14,12.0,0.15,0.73,0.37,0.81,0.69,0.81,145.5,True
Down_To_Earth_Ceramic_Orchid_Pot_Asst_Blue,6,5.9,0.2,0.88,0.21,0.18,0.15,0.21,192.2,True
Down_To_Earth_Orchid_Pot_Ceramic_Red,10,4.8,0.36,0.96,0.69,0.67,0.64,0.69,156.9,True
Eat_to_Live_The_Amazing_NutrientRich_Program_for_Fast_and_Sustained_Weight_Loss_Revised_Edition_Book,4,2.3,0.48,0.24,0.04,0.09,0.15,0.15,228.9,False
Ecoforms_Cup_B4_SAN,10,3.4,0.51,0.85,0.65,0.68,0.46,0.68,104.2,True
Ecoforms_Garden_Pot_GP16ATurquois,16,9.8,0.24,0.93,0.33,0.68,0.61,0.68,174.7,True
Ecoforms_Plant_Bowl_Atlas_Low,7,2.6,0.57,0.47,0.64,0.55,0.15,0.64,335.9,False
Ecoforms_Plant_Bowl_Turquoise_7,10,3.7,0.49,0.69,0.69,0.69,0.63,0.69,190.5,False
Ecoforms_Plant_Container_12_Pot_Nova,17,8.9,0.28,0.89,0.44,0.76,0.66,0.76,339.7,True
Ecoforms_Plant_Container_B4_Har,14,4.7,0.43,0.87,0.62,0.66,0.65,0.66,102.8,True
Ecoforms_Plant_Container_FB6_Tur,12,4.2,0.45,0.67,0.66,0.68,0.33,0.68,169.0,False
Ecoforms_Plant_Container_GP16AMOCHA,17,11.2,0.21,0.86,0.53,0.71,0.7,0.71,188.1,True
Ecoforms_Plant_Container_GP16A_Coral,16,10.3,0.22,0.88,0.42,0.74,0.66,0.74,191.8,True
Ecoforms_Plant_Container_QP6CORAL,6,5.8,0.22,0.69,0.17,0.17,0.4,0.4,254.3,False
Ecoforms_Plant_Container_QP6HARVEST,6,5.8,0.22,0.72,0.16,0.17,0.4,0.4,254.8,True
Ecoforms_Plant_Container_QP_Harvest,8,6.9,0.19,0.86,0.41,0.35,0.28,0.41,118.3,True
Ecoforms_Plant_Container_QP_Turquoise,7,6.2,0.2,0.81,0.19,0.27,0.19,0.27,118.2,True
Ecoforms_Plant_Container_Quadra_Turquoise_QP12,6,5.1,0.21,0.71,0.68,0.13,0.58,0.68,332.2,True
Ecoforms_Plant_Container_S14Turquoise,2,2.0,0.55,0.21,0.01,0.01,0.04,0.04,156.4,False
Ecoforms_Plant_Container_S24NATURAL,2,2.0,0.54,0.16,0.0,0.0,0.03,0.03,252.2,False
Ecoforms_Plant_Container_S24Turquoise,2,2.0,0.54,0.15,0.01,0.01,0.03,0.03,253.8,False
Ecoforms_Plant_Container_SB9Turquoise,11,4.9,0.4,0.83,0.72,0.67,0.4,0.72,311.6,True
Ecoforms_Plant_Container_URN_NAT,16,8.6,0.28,0.8,0.83,0.78,0.69,0.83,185.5,True
Ecoforms_Plant_Container_URN_SAN,13,5.8,0.37,0.8,0.68,0.81,0.71,0.81,185.7,True
Ecoforms_Plant_Container_Urn_55_Avocado,12,5.4,0.39,0.84,0.58,0.71,0.8,0.8,183.6,True
Ecoforms_Plant_Container_Urn_55_Mocha,12,6.3,0.34,0.86,0.82,0.73,0.8,0.82,178.7,True
Ecoforms_Plant_Plate_S11Turquoise,2,2.0,0.55,0.21,0.01,0.01,0.04,0.04,127.0,False
Ecoforms_Plant_Pot_GP9AAvocado,16,8.7,0.27,0.94,0.25,0.72,0.63,0.72,95.8,True
Ecoforms_Plant_Pot_GP9_SAND,19,9.2,0.27,0.91,0.22,0.7,0.62,0.7,93.3,True
Ecoforms_Plant_Saucer_S14MOCHA,2,2.0,0.55,0.2,0.01,0.01,0.04,0.04,155.4,False
Ecoforms_Plant_Saucer_S14NATURAL,2,2.0,0.55,0.23,0.01,0.0,0.04,0.04,156.1,False
Ecoforms_Plant_Saucer_S17MOCHA,2,2.0,0.55,0.18,0.01,0.0,0.03,0.03,184.5,False
Ecoforms_Plant_Saucer_S20MOCHA,2,2.0,0.55,0.18,0.0,0.01,0.03,0.03,214.6,False
Ecoforms_Plant_Saucer_SQ1HARVEST,2,1.9,0.59,0.22,0.01,0.01,0.04,0.04,92.1,False
Ecoforms_Plant_Saucer_SQ8COR,2,2.0,0.56,0.14,0.0,0.01,0.03,0.03,244.7,False
Ecoforms_Planter_Bowl_Cole_Hardware,6,2.4,0.63,0.67,0.68,0.69,0.29,0.69,187.6,False
Ecoforms_Planter_Pot_GP12AAvocado,20,11.4,0.23,0.99,0.25,0.69,0.6,0.69,125.8,True
Ecoforms_Planter_Pot_QP6Ebony,6,5.8,0.22,0.68,0.16,0.17,0.25,0.25,252.0,False
Ecoforms_Plate_S20Avocado,2,2.0,0.55,0.18,0.0,0.01,0.03,0.03,217.6,False
Ecoforms_Pot_Nova_6_Turquoise,7,3.3,0.5,0.92,0.72,0.75,0.75,0.75,201.4,True
Ecoforms_Quadra_Saucer_SQ1_Avocado,2,1.9,0.59,0.18,0.01,0.01,0.04,0.04,117.9,False
Ecoforms_Saucer_SQ3_Turquoise,2,2.0,0.57,0.13,0.0,0.16,0.05,0.16,276.1,False
Epson_273XL_Ink_Cartridge_Magenta,6,2.8,0.43,0.2,0.51,0.09,0.15,0.51,171.4,False
Epson_DURABrite_Ultra_786_Black_Ink_Cartridge_T786120S,6,3.0,0.4,0.26,0.15,0.1,0.19,0.19,192.9,False
Epson_Ink_Cartridge_126_Yellow,5,2.4,0.47,0.17,0.04,0.56,0.1,0.56,151.6,False
Epson_Ink_Cartridge_Black_200,4,2.3,0.48,0.21,0.04,0.03,0.09,0.09,121.4,False
Epson_LabelWorks_LC4WBN9_Tape_reel_labels_047_x_295_Roll_Black_on_White,4,2.7,0.45,0.34,0.24,0.53,0.11,0.53,144.3,False
Epson_LabelWorks_LC5WBN9_Tape_reel_labels_071_x_295_Roll_Black_on_White,6,3.1,0.4,0.34,0.13,0.13,0.12,0.13,149.2,False
Epson_T5803_Ink_Cartridge_Magenta_1pack,7,3.9,0.34,0.37,0.15,0.08,0.17,0.17,108.3,False
Epson_UltraChrome_T0543_Ink_Cartridge_Magenta_1pack,3,2.1,0.5,0.22,0.06,0.09,0.08,0.09,114.9,False
Epson_UltraChrome_T0548_Ink_Cartridge_Matte_Black_1pack,5,2.4,0.46,0.17,0.07,0.06,0.1,0.1,147.1,False
FemDophilus,6,4.9,0.23,0.65,0.49,0.13,0.4,0.49,128.9,False
Final_Fantasy_XIV_A_Realm_Reborn_60Day_Subscription,2,2.0,0.51,0.11,0.03,0.04,0.03,0.04,231.0,False
Firefly_Clue_Board_Game,5,2.5,0.46,0.22,0.1,0.09,0.13,0.13,468.0,False
FisherPrice_Make_A_Match_Game_Thomas_Friends,4,2.4,0.46,0.19,0.06,0.08,0.12,0.12,309.1,False
Folic_Acid,21,19.4,0.08,0.6,0.38,0.75,0.69,0.75,91.2,True
Footed_Bowl_Sand,11,3.9,0.46,0.67,0.74,0.69,0.39,0.74,169.1,False
Fresca_Peach_Citrus_Sparkling_Flavored_Soda_12_PK,6,4.4,0.25,0.39,0.04,0.34,0.1,0.34,426.2,False
Frozen_Olafs_In_Trouble_PopOMatic_Game,4,2.3,0.47,0.17,0.11,0.1,0.08,0.11,379.9,False
Frozen_Scrabble_Jr,6,2.7,0.43,0.17,0.05,0.05,0.05,0.05,348.0,False
Fujifilm_instax_SHARE_SP1_10_photos,3,2.1,0.49,0.45,0.08,0.55,0.18,0.55,127.4,False
Full_Circle_Happy_Scraps_Out_Collector_Gray,6,4.8,0.25,0.73,0.36,0.12,0.23,0.36,227.0,True
Germanium_GE132,19,13.3,0.17,0.6,0.27,0.68,0.66,0.68,83.7,True
Gigabyte_GA78LMTUSB3_50_Motherboard_Micro_ATX_Socket_AM3,6,2.8,0.42,0.18,0.09,0.5,0.08,0.5,367.0,False
Gigabyte_GA970AUD3P_10_Motherboard_ATX_Socket_AM3,7,2.9,0.41,0.24,0.08,0.06,0.11,0.11,338.4,False
Gigabyte_GAZ97XSLI_10_motherboard_ATX_LGA1150_Socket_Z97,7,3.1,0.4,0.24,0.05,0.05,0.05,0.05,346.6,False
Google_Cardboard_Original_package,2,2.0,0.51,0.09,0.02,0.01,0.03,0.03,230.8,False
Granimals_20_Wooden_ABC_Blocks_Wagon,7,4.6,0.32,0.3,0.51,0.56,0.23,0.56,197.5,False
Granimals_20_Wooden_ABC_Blocks_Wagon_85VdSftGsLi,7,6.5,0.19,0.83,0.42,0.5,0.32,0.5,46.8,True
Granimals_20_Wooden_ABC_Blocks_Wagon_g2TinmUGGHI,6,4.5,0.31,0.29,0.55,0.73,0.36,0.73,198.2,False
Great_Dinos_Triceratops_Toy,8,4.4,0.39,0.61,0.81,0.65,0.44,0.81,77.6,False
Grreat_Choice_Dog_Double_Dish_Plastic_Blue,4,3.3,0.37,0.28,0.14,0.1,0.09,0.14,354.6,False
Grreatv_Choice_Dog_Bowl_Gray_Bones_Plastic_20_fl_oz_total,6,2.6,0.44,0.32,0.25,0.29,0.24,0.29,192.5,False
